id,text,subject,length,complexity,demand,price,keywords
865,geometry theorems proof,math,3,2.77,0.84,178.7,"geometry,theorems,proof"
866,electric circuits problem,physics,3,3.28,0.58,193.6,"electric,circuits,problem"
867,dynamic programming example,cs,3,3.14,0.66,186.34,"dynamic,programming,example"
868,linear algebra matrix with example,math,5,2.92,2.05,220.85,"linear,algebra,matrix,with,example"
869,optics refraction question solve step by step with example,physics,9,1.22,0.85,119.83,"optics,refraction,question,solve,step,with,example"
870,electric circuits problem detailed explanation show steps,physics,7,2.85,1.2,190.59,"electric,circuits,problem,detailed,explanation,show,steps"
871,optics refraction question,physics,3,3.46,2.45,250.38,"optics,refraction,question"
872,electric circuits problem show steps solve step by step,physics,9,1.08,2.09,137.5,"electric,circuits,problem,show,steps,solve,step"
873,recursion tree problem,cs,3,0.98,2.35,113.08,"recursion,tree,problem"
874,chemical bonding explanation,chemistry,3,1.8,1.17,145.5,"chemical,bonding,explanation"
875,graph theory shortest path,cs,4,2.72,2.35,204.52,"graph,theory,shortest,path"
876,differential equations solve explain detailed explanation,math,6,2.66,1.69,195.32,"differential,equations,solve,explain,detailed,explanation"
877,thermodynamics law application,physics,3,2.84,1.15,182.96,"thermodynamics,law,application"
878,dynamic programming example detailed explanation,cs,5,0.72,1.67,90.49,"dynamic,programming,example,detailed,explanation"
879,dynamic programming example,cs,3,3.28,1.41,215.95,"dynamic,programming,example"
880,electric circuits problem explain solve step by step,physics,8,1.31,1.17,115.54,"electric,circuits,problem,explain,solve,step"
881,geometry theorems proof,math,3,0.83,1.43,94.46,"geometry,theorems,proof"
882,stoichiometry titration problem show steps,chemistry,5,2.87,1.78,211.33,"stoichiometry,titration,problem,show,steps"
883,quantum basics question detailed explanation explain,physics,6,3.07,1.48,225.01,"quantum,basics,question,detailed,explanation,explain"
884,recursion tree problem explain,cs,4,1.78,2.25,156.96,"recursion,tree,problem,explain"
885,data structures stack queue,cs,4,3.18,1.68,213.58,"data,structures,stack,queue"
886,differential equations solve,math,3,0.62,1.44,91.17,"differential,equations,solve"
887,differential equations solve solve step by step detailed explanation,math,9,2.59,0.7,181.41,"differential,equations,solve,step,detailed,explanation"
888,linear algebra matrix,math,3,2.58,1.31,175.56,"linear,algebra,matrix"
889,chemical bonding explanation,chemistry,3,2.44,0.68,161.2,"chemical,bonding,explanation"
890,stoichiometry titration problem with example with example,chemistry,7,2.25,2.45,194.78,"stoichiometry,titration,problem,with,example"
891,electric circuits problem,physics,3,2.87,1.24,193.59,"electric,circuits,problem"
892,calculus integral problem detailed explanation,math,5,1.5,0.57,114.92,"calculus,integral,problem,detailed,explanation"
893,acid base titration with example solve step by step,chemistry,9,2.55,1.74,197.01,"acid,base,titration,with,example,solve,step"
894,linear algebra matrix solve step by step explain,math,8,1.65,1.43,137.92,"linear,algebra,matrix,solve,step,explain"
895,stoichiometry titration problem with example explain,chemistry,6,2.63,0.91,191.33,"stoichiometry,titration,problem,with,example,explain"
896,quantum basics question,physics,3,2.45,1.97,192.95,"quantum,basics,question"
897,optics refraction question solve step by step,physics,7,1.3,1.86,131.74,"optics,refraction,question,solve,step"
898,geometry theorems proof with example,math,5,2.0,2.16,172.6,"geometry,theorems,proof,with,example"
899,periodic trends question solve step by step show steps,chemistry,9,2.58,2.46,223.86,"periodic,trends,question,solve,step,show,steps"
900,electric circuits problem,physics,3,0.74,2.3,104.77,"electric,circuits,problem"
901,calculus integral problem,math,3,1.33,1.89,130.23,"calculus,integral,problem"
902,quantum basics question explain with example,physics,6,2.55,2.36,206.18,"quantum,basics,question,explain,with,example"
903,recursion tree problem show steps solve step by step,cs,9,0.69,2.24,111.95,"recursion,tree,problem,show,steps,solve,step"
904,periodic trends question solve step by step show steps,chemistry,9,1.48,1.69,149.74,"periodic,trends,question,solve,step,show,steps"
905,recursion tree problem with example,cs,5,3.19,1.11,217.49,"recursion,tree,problem,with,example"
906,electric circuits problem detailed explanation,physics,5,2.81,0.59,179.36,"electric,circuits,problem,detailed,explanation"
907,dynamic programming example detailed explanation show steps,cs,7,1.36,2.45,157.79,"dynamic,programming,example,detailed,explanation,show,steps"
908,optics refraction question,physics,3,0.85,2.49,119.79,"optics,refraction,question"
909,sorting algorithm explanation explain,cs,4,2.19,0.57,145.24,"sorting,algorithm,explanation,explain"
910,stoichiometry titration problem with example,chemistry,5,3.43,1.57,225.33,"stoichiometry,titration,problem,with,example"
911,differential equations solve show steps,math,5,3.34,2.36,237.32,"differential,equations,solve,show,steps"
912,chemical bonding explanation detailed explanation,chemistry,5,3.41,2.01,250.58,"chemical,bonding,explanation,detailed"
913,quantum basics question detailed explanation with example,physics,7,2.57,1.96,209.7,"quantum,basics,question,detailed,explanation,with,example"
914,quantum basics question,physics,3,1.42,1.3,129.82,"quantum,basics,question"
915,sorting algorithm explanation,cs,3,1.48,1.72,128.3,"sorting,algorithm,explanation"
916,thermodynamics law application,physics,3,0.57,1.58,85.01,"thermodynamics,law,application"
917,linear algebra matrix explain,math,4,1.45,1.71,143.57,"linear,algebra,matrix,explain"
918,periodic trends question,chemistry,3,2.65,1.36,183.42,"periodic,trends,question"
919,geometry theorems proof solve step by step,math,7,3.43,2.25,242.25,"geometry,theorems,proof,solve,step"
920,recursion tree problem solve step by step,cs,7,2.92,2.44,227.28,"recursion,tree,problem,solve,step"
921,dynamic programming example with example explain,cs,6,1.41,2.48,152.61,"dynamic,programming,example,with,explain"
922,organic reaction mechanism show steps explain,chemistry,6,1.73,2.33,163.39,"organic,reaction,mechanism,show,steps,explain"
923,data structures stack queue,cs,4,1.1,2.16,121.99,"data,structures,stack,queue"
924,graph theory shortest path detailed explanation,cs,6,1.41,1.62,134.17,"graph,theory,shortest,path,detailed,explanation"
925,calculus integral problem,math,3,1.29,2.41,145.38,"calculus,integral,problem"
926,graph theory shortest path show steps solve step by step,cs,10,1.04,2.31,141.1,"graph,theory,shortest,path,show,steps,solve,step"
927,calculus integral problem with example,math,5,3.41,1.7,231.74,"calculus,integral,problem,with,example"
928,data structures stack queue detailed explanation,cs,6,2.38,1.45,183.88,"data,structures,stack,queue,detailed,explanation"
929,geometry theorems proof show steps explain,math,6,1.28,1.66,122.12,"geometry,theorems,proof,show,steps,explain"
930,dynamic programming example explain,cs,4,1.32,1.34,129.04,"dynamic,programming,example,explain"
931,organic reaction mechanism solve step by step,chemistry,7,2.42,0.65,161.88,"organic,reaction,mechanism,solve,step"
932,mechanics motion problem show steps with example,physics,7,3.12,2.15,236.7,"mechanics,motion,problem,show,steps,with,example"
933,chemical bonding explanation show steps solve step by step,chemistry,9,2.1,1.2,159.87,"chemical,bonding,explanation,show,steps,solve,step"
934,quantum basics question solve step by step,physics,7,1.95,1.18,163.32,"quantum,basics,question,solve,step"
935,algebra equation solving,math,3,2.01,2.16,175.6,"algebra,equation,solving"
936,differential equations solve detailed explanation,math,5,0.85,0.76,78.05,"differential,equations,solve,detailed,explanation"
937,chemical bonding explanation solve step by step detailed explanation,chemistry,9,3.17,1.7,235.77,"chemical,bonding,explanation,solve,step,detailed"
938,stoichiometry titration problem solve step by step show steps,chemistry,9,0.86,0.76,100.08,"stoichiometry,titration,problem,solve,step,show,steps"
939,thermodynamics law application,physics,3,1.13,2.46,130.2,"thermodynamics,law,application"
940,calculus integral problem,math,3,2.82,2.01,198.05,"calculus,integral,problem"
941,calculus integral problem with example explain,math,6,0.86,1.01,86.52,"calculus,integral,problem,with,example,explain"
942,calculus integral problem,math,3,3.26,0.91,215.22,"calculus,integral,problem"
943,thermodynamics law application,physics,3,0.77,2.19,117.14,"thermodynamics,law,application"
944,chemical bonding explanation,chemistry,3,3.07,2.06,222.96,"chemical,bonding,explanation"
945,calculus integral problem show steps with example,math,7,2.65,2.43,208.54,"calculus,integral,problem,show,steps,with,example"
946,calculus integral problem,math,3,3.26,2.2,232.49,"calculus,integral,problem"
947,electric circuits problem detailed explanation explain,physics,6,1.56,1.26,129.49,"electric,circuits,problem,detailed,explanation,explain"
948,electric circuits problem,physics,3,2.78,1.13,186.92,"electric,circuits,problem"
949,electric circuits problem show steps,physics,5,2.17,0.58,146.66,"electric,circuits,problem,show,steps"
950,differential equations solve with example,math,5,2.71,1.87,209.72,"differential,equations,solve,with,example"
951,quantum basics question solve step by step,physics,7,3.07,0.88,196.49,"quantum,basics,question,solve,step"
952,sorting algorithm explanation,cs,3,0.54,1.85,93.44,"sorting,algorithm,explanation"
953,recursion tree problem show steps explain,cs,6,0.93,1.3,106.31,"recursion,tree,problem,show,steps,explain"
954,algebra equation solving,math,3,1.59,0.9,117.51,"algebra,equation,solving"
955,graph theory shortest path,cs,4,3.01,1.95,213.07,"graph,theory,shortest,path"
956,periodic trends question with example,chemistry,5,2.31,1.31,171.39,"periodic,trends,question,with,example"
957,stoichiometry titration problem explain,chemistry,4,1.25,1.49,122.87,"stoichiometry,titration,problem,explain"
958,mechanics motion problem,physics,3,2.71,2.16,204.66,"mechanics,motion,problem"
959,algebra equation solving show steps,math,5,1.48,1.11,128.66,"algebra,equation,solving,show,steps"
960,linear algebra matrix show steps,math,5,1.11,1.82,121.71,"linear,algebra,matrix,show,steps"
961,acid base titration detailed explanation,chemistry,5,2.12,0.54,152.08,"acid,base,titration,detailed,explanation"
962,graph theory shortest path with example,cs,6,3.06,1.39,203.52,"graph,theory,shortest,path,with,example"
963,quantum basics question detailed explanation solve step by step,physics,9,2.62,1.48,191.29,"quantum,basics,question,detailed,explanation,solve,step"
964,recursion tree problem,cs,3,2.21,1.48,167.18,"recursion,tree,problem"
965,recursion tree problem detailed explanation with example,cs,7,1.67,1.49,156.72,"recursion,tree,problem,detailed,explanation,with,example"
966,chemical bonding explanation explain,chemistry,4,2.27,0.76,154.03,"chemical,bonding,explanation,explain"
967,geometry theorems proof explain,math,4,1.54,1.21,126.23,"geometry,theorems,proof,explain"
968,optics refraction question,physics,3,2.44,1.69,190.01,"optics,refraction,question"
969,geometry theorems proof,math,3,1.51,0.54,108.82,"geometry,theorems,proof"
970,recursion tree problem with example with example,cs,7,0.56,1.44,81.24,"recursion,tree,problem,with,example"
971,periodic trends question solve step by step with example,chemistry,9,2.92,0.7,201.5,"periodic,trends,question,solve,step,with,example"
972,periodic trends question detailed explanation show steps,chemistry,7,1.0,1.1,115.39,"periodic,trends,question,detailed,explanation,show,steps"
973,electric circuits problem detailed explanation show steps,physics,7,3.02,1.57,212.15,"electric,circuits,problem,detailed,explanation,show,steps"
974,geometry theorems proof with example solve step by step,math,9,2.73,0.68,194.98,"geometry,theorems,proof,with,example,solve,step"
975,linear algebra matrix solve step by step,math,7,2.2,1.56,173.74,"linear,algebra,matrix,solve,step"
976,organic reaction mechanism detailed explanation with example,chemistry,7,1.4,1.83,136.87,"organic,reaction,mechanism,detailed,explanation,with,example"
977,recursion tree problem show steps,cs,5,1.86,2.03,157.21,"recursion,tree,problem,show,steps"
978,linear algebra matrix,math,3,2.23,0.93,165.34,"linear,algebra,matrix"
979,sorting algorithm explanation with example show steps,cs,7,2.81,1.37,203.22,"sorting,algorithm,explanation,with,example,show,steps"
980,linear algebra matrix,math,3,1.59,0.8,114.51,"linear,algebra,matrix"
981,periodic trends question solve step by step,chemistry,7,2.99,0.63,190.17,"periodic,trends,question,solve,step"
982,sorting algorithm explanation show steps,cs,5,1.27,1.7,125.62,"sorting,algorithm,explanation,show,steps"
983,algebra equation solving,math,3,0.58,2.09,93.01,"algebra,equation,solving"
984,data structures stack queue with example,cs,6,3.22,0.9,206.45,"data,structures,stack,queue,with,example"
985,geometry theorems proof show steps,math,5,1.03,2.21,134.98,"geometry,theorems,proof,show,steps"
986,graph theory shortest path,cs,4,3.08,0.67,197.43,"graph,theory,shortest,path"
987,differential equations solve show steps,math,5,3.16,1.29,220.6,"differential,equations,solve,show,steps"
988,optics refraction question,physics,3,2.21,1.5,158.91,"optics,refraction,question"
989,periodic trends question,chemistry,3,1.21,0.74,107.43,"periodic,trends,question"
990,acid base titration solve step by step show steps,chemistry,9,1.21,1.35,118.39,"acid,base,titration,solve,step,show,steps"
991,optics refraction question with example,physics,5,1.26,1.68,126.41,"optics,refraction,question,with,example"
992,organic reaction mechanism with example,chemistry,5,1.92,0.99,141.35,"organic,reaction,mechanism,with,example"
993,thermodynamics law application show steps,physics,5,2.96,0.54,198.14,"thermodynamics,law,application,show,steps"
994,calculus integral problem detailed explanation show steps,math,7,1.26,1.27,125.18,"calculus,integral,problem,detailed,explanation,show,steps"
995,organic reaction mechanism detailed explanation detailed explanation,chemistry,7,1.67,2.32,161.76,"organic,reaction,mechanism,detailed,explanation"
996,chemical bonding explanation,chemistry,3,3.31,2.01,227.65,"chemical,bonding,explanation"
997,electric circuits problem solve step by step detailed explanation,physics,9,2.43,2.08,196.58,"electric,circuits,problem,solve,step,detailed,explanation"
998,differential equations solve show steps,math,5,3.28,1.17,215.85,"differential,equations,solve,show,steps"
999,algebra equation solving solve step by step explain,math,8,1.76,1.96,164.15,"algebra,equation,solving,solve,step,explain"
1000,periodic trends question explain explain,chemistry,5,2.42,1.76,192.02,"periodic,trends,question,explain"
1001,mechanics motion problem solve step by step,physics,7,1.42,1.65,130.22,"mechanics,motion,problem,solve,step"
1002,quantum basics question detailed explanation detailed explanation,physics,7,2.79,2.19,221.02,"quantum,basics,question,detailed,explanation"
1003,periodic trends question detailed explanation,chemistry,5,0.9,0.85,93.86,"periodic,trends,question,detailed,explanation"
1004,chemical bonding explanation,chemistry,3,0.75,1.24,86.17,"chemical,bonding,explanation"
1005,data structures stack queue,cs,4,0.56,0.55,68.17,"data,structures,stack,queue"
1006,mechanics motion problem explain,physics,4,2.6,0.84,172.82,"mechanics,motion,problem,explain"
1007,data structures stack queue explain,cs,5,3.37,0.84,216.64,"data,structures,stack,queue,explain"
1008,linear algebra matrix show steps,math,5,3.28,2.15,236.88,"linear,algebra,matrix,show,steps"
1009,optics refraction question,physics,3,3.34,2.13,230.92,"optics,refraction,question"
1010,recursion tree problem,cs,3,1.79,0.91,128.01,"recursion,tree,problem"
1011,stoichiometry titration problem explain,chemistry,4,2.88,0.56,192.72,"stoichiometry,titration,problem,explain"
1012,quantum basics question detailed explanation,physics,5,1.61,1.87,147.06,"quantum,basics,question,detailed,explanation"
1013,differential equations solve,math,3,3.11,2.45,228.45,"differential,equations,solve"
1014,electric circuits problem with example with example,physics,7,0.72,1.61,93.24,"electric,circuits,problem,with,example"
1015,electric circuits problem detailed explanation,physics,5,3.32,2.43,246.56,"electric,circuits,problem,detailed,explanation"
1016,calculus integral problem with example,math,5,1.64,2.46,164.63,"calculus,integral,problem,with,example"
1017,quantum basics question,physics,3,2.24,1.02,158.47,"quantum,basics,question"
1018,periodic trends question,chemistry,3,0.77,1.92,101.56,"periodic,trends,question"
1019,organic reaction mechanism explain,chemistry,4,0.88,2.24,123.5,"organic,reaction,mechanism,explain"
1020,periodic trends question detailed explanation,chemistry,5,1.29,2.16,146.23,"periodic,trends,question,detailed,explanation"
1021,periodic trends question,chemistry,3,1.45,2.49,153.57,"periodic,trends,question"
1022,quantum basics question show steps with example,physics,7,1.07,0.61,93.36,"quantum,basics,question,show,steps,with,example"
1023,sorting algorithm explanation,cs,3,2.62,1.37,194.3,"sorting,algorithm,explanation"
1024,graph theory shortest path solve step by step,cs,8,2.63,1.47,196.76,"graph,theory,shortest,path,solve,step"
1025,mechanics motion problem explain,physics,4,3.1,0.86,193.57,"mechanics,motion,problem,explain"
1026,acid base titration with example with example,chemistry,7,3.41,1.55,236.92,"acid,base,titration,with,example"
1027,graph theory shortest path,cs,4,2.8,1.85,212.75,"graph,theory,shortest,path"
1028,geometry theorems proof detailed explanation explain,math,6,1.62,2.36,152.32,"geometry,theorems,proof,detailed,explanation,explain"
1029,stoichiometry titration problem,chemistry,3,0.74,2.16,109.39,"stoichiometry,titration,problem"
1030,sorting algorithm explanation show steps solve step by step,cs,9,0.63,1.74,103.36,"sorting,algorithm,explanation,show,steps,solve,step"
1031,optics refraction question,physics,3,2.9,1.07,198.36,"optics,refraction,question"
1032,linear algebra matrix solve step by step solve step by step,math,11,1.03,2.43,149.41,"linear,algebra,matrix,solve,step"
1033,calculus integral problem,math,3,0.99,2.06,112.4,"calculus,integral,problem"
1034,mechanics motion problem with example,physics,5,1.8,2.11,158.4,"mechanics,motion,problem,with,example"
1035,thermodynamics law application explain solve step by step,physics,8,1.1,1.39,116.56,"thermodynamics,law,application,explain,solve,step"
1036,acid base titration with example show steps,chemistry,7,2.93,1.73,213.78,"acid,base,titration,with,example,show,steps"
1037,graph theory shortest path,cs,4,2.04,2.45,182.53,"graph,theory,shortest,path"
1038,electric circuits problem show steps with example,physics,7,1.37,1.37,138.04,"electric,circuits,problem,show,steps,with,example"
1039,sorting algorithm explanation,cs,3,3.45,1.87,231.91,"sorting,algorithm,explanation"
1040,quantum basics question solve step by step,physics,7,0.64,0.65,69.9,"quantum,basics,question,solve,step"
1041,linear algebra matrix with example,math,5,1.89,1.94,169.56,"linear,algebra,matrix,with,example"
1042,chemical bonding explanation explain with example,chemistry,6,0.84,1.82,103.99,"chemical,bonding,explanation,explain,with,example"
1043,electric circuits problem,physics,3,0.75,2.25,104.45,"electric,circuits,problem"
1044,recursion tree problem detailed explanation solve step by step,cs,9,3.25,2.12,237.12,"recursion,tree,problem,detailed,explanation,solve,step"
1045,linear algebra matrix detailed explanation,math,5,0.82,1.57,92.52,"linear,algebra,matrix,detailed,explanation"
1046,calculus integral problem,math,3,2.47,1.42,176.0,"calculus,integral,problem"
1047,sorting algorithm explanation detailed explanation show steps,cs,7,2.57,2.43,214.6,"sorting,algorithm,explanation,detailed,show,steps"
1048,organic reaction mechanism,chemistry,3,0.91,0.88,95.42,"organic,reaction,mechanism"
1049,mechanics motion problem,physics,3,1.94,0.79,133.64,"mechanics,motion,problem"
1050,mechanics motion problem show steps,physics,5,0.94,1.34,96.13,"mechanics,motion,problem,show,steps"
1051,electric circuits problem with example,physics,5,3.08,1.67,211.43,"electric,circuits,problem,with,example"
1052,graph theory shortest path explain,cs,5,2.39,1.93,197.69,"graph,theory,shortest,path,explain"
1053,data structures stack queue show steps detailed explanation,cs,8,0.61,1.3,92.77,"data,structures,stack,queue,show,steps,detailed,explanation"
1054,dynamic programming example explain explain,cs,5,2.23,1.61,169.06,"dynamic,programming,example,explain"
1055,recursion tree problem,cs,3,1.98,2.38,169.54,"recursion,tree,problem"
1056,graph theory shortest path,cs,4,1.36,0.88,110.48,"graph,theory,shortest,path"
1057,quantum basics question,physics,3,2.26,1.87,184.83,"quantum,basics,question"
1058,dynamic programming example show steps,cs,5,1.67,1.33,148.92,"dynamic,programming,example,show,steps"
1059,periodic trends question,chemistry,3,2.37,1.06,170.69,"periodic,trends,question"
1060,dynamic programming example,cs,3,1.1,1.71,107.22,"dynamic,programming,example"
1061,recursion tree problem solve step by step,cs,7,2.17,2.5,189.68,"recursion,tree,problem,solve,step"
1062,chemical bonding explanation explain detailed explanation,chemistry,6,3.18,0.56,193.47,"chemical,bonding,explanation,explain,detailed"
1063,graph theory shortest path solve step by step with example,cs,10,1.96,2.49,193.5,"graph,theory,shortest,path,solve,step,with,example"
1064,linear algebra matrix detailed explanation,math,5,3.06,2.25,230.09,"linear,algebra,matrix,detailed,explanation"
1065,calculus integral problem show steps,math,5,3.39,2.01,249.19,"calculus,integral,problem,show,steps"
1066,linear algebra matrix,math,3,2.02,0.83,135.96,"linear,algebra,matrix"
1067,thermodynamics law application,physics,3,2.69,1.92,204.14,"thermodynamics,law,application"
1068,graph theory shortest path,cs,4,2.44,1.17,166.16,"graph,theory,shortest,path"
1069,electric circuits problem show steps,physics,5,0.52,2.17,98.87,"electric,circuits,problem,show,steps"
1070,acid base titration,chemistry,3,0.76,1.24,93.9,"acid,base,titration"
1071,stoichiometry titration problem,chemistry,3,2.76,1.56,200.94,"stoichiometry,titration,problem"
1072,electric circuits problem detailed explanation,physics,5,3.19,2.4,237.82,"electric,circuits,problem,detailed,explanation"
1073,organic reaction mechanism explain,chemistry,4,0.53,2.11,105.57,"organic,reaction,mechanism,explain"
1074,geometry theorems proof with example,math,5,2.82,1.37,196.27,"geometry,theorems,proof,with,example"
1075,algebra equation solving explain show steps,math,6,2.64,1.82,200.8,"algebra,equation,solving,explain,show,steps"
1076,periodic trends question detailed explanation,chemistry,5,2.6,2.25,209.43,"periodic,trends,question,detailed,explanation"
1077,chemical bonding explanation,chemistry,3,2.98,2.3,223.21,"chemical,bonding,explanation"
1078,electric circuits problem show steps,physics,5,3.16,1.75,225.36,"electric,circuits,problem,show,steps"
1079,sorting algorithm explanation with example explain,cs,6,1.4,0.57,110.09,"sorting,algorithm,explanation,with,example,explain"
1080,quantum basics question solve step by step explain,physics,8,2.16,1.54,179.94,"quantum,basics,question,solve,step,explain"
1081,mechanics motion problem,physics,3,3.17,1.58,211.27,"mechanics,motion,problem"
1082,periodic trends question explain explain,chemistry,5,1.62,1.75,143.09,"periodic,trends,question,explain"
1083,calculus integral problem solve step by step,math,7,2.71,1.41,207.36,"calculus,integral,problem,solve,step"
1084,thermodynamics law application solve step by step,physics,7,2.85,1.93,218.55,"thermodynamics,law,application,solve,step"
1085,data structures stack queue solve step by step solve step by step,cs,12,2.25,2.15,196.73,"data,structures,stack,queue,solve,step"
1086,algebra equation solving with example with example,math,7,0.78,1.35,92.6,"algebra,equation,solving,with,example"
1087,electric circuits problem,physics,3,1.61,1.55,139.26,"electric,circuits,problem"
1088,sorting algorithm explanation with example with example,cs,7,1.82,2.36,171.99,"sorting,algorithm,explanation,with,example"
1089,dynamic programming example,cs,3,2.02,1.47,155.55,"dynamic,programming,example"
1090,algebra equation solving with example,math,5,2.74,2.39,212.19,"algebra,equation,solving,with,example"
1091,linear algebra matrix explain,math,4,1.61,1.08,130.56,"linear,algebra,matrix,explain"
1092,geometry theorems proof detailed explanation,math,5,1.41,1.47,135.72,"geometry,theorems,proof,detailed,explanation"
1093,quantum basics question explain,physics,4,3.18,2.28,226.91,"quantum,basics,question,explain"
1094,graph theory shortest path,cs,4,2.14,0.64,138.69,"graph,theory,shortest,path"
1095,data structures stack queue with example,cs,6,3.2,2.06,232.7,"data,structures,stack,queue,with,example"
1096,optics refraction question show steps show steps,physics,7,2.5,0.8,179.56,"optics,refraction,question,show,steps"
1097,linear algebra matrix show steps solve step by step,math,9,3.2,1.18,212.52,"linear,algebra,matrix,show,steps,solve,step"
1098,sorting algorithm explanation explain explain,cs,5,0.57,1.76,99.13,"sorting,algorithm,explanation,explain"
1099,acid base titration explain with example,chemistry,6,1.08,1.74,122.34,"acid,base,titration,explain,with,example"
1100,linear algebra matrix explain with example,math,6,3.19,0.74,215.02,"linear,algebra,matrix,explain,with,example"
1101,mechanics motion problem show steps,physics,5,1.24,1.91,137.95,"mechanics,motion,problem,show,steps"
1102,graph theory shortest path show steps with example,cs,8,0.63,2.22,102.37,"graph,theory,shortest,path,show,steps,with,example"
1103,dynamic programming example explain,cs,4,2.08,1.26,149.02,"dynamic,programming,example,explain"
1104,linear algebra matrix,math,3,1.36,0.87,116.77,"linear,algebra,matrix"
1105,thermodynamics law application show steps,physics,5,0.68,2.42,106.03,"thermodynamics,law,application,show,steps"
1106,geometry theorems proof explain,math,4,0.93,2.29,115.46,"geometry,theorems,proof,explain"
1107,calculus integral problem,math,3,1.22,1.69,115.53,"calculus,integral,problem"
1108,graph theory shortest path explain,cs,5,1.89,1.31,150.38,"graph,theory,shortest,path,explain"
1109,dynamic programming example,cs,3,1.31,2.43,143.6,"dynamic,programming,example"
1110,quantum basics question show steps solve step by step,physics,9,1.72,0.67,140.12,"quantum,basics,question,show,steps,solve,step"
1111,optics refraction question with example,physics,5,1.0,0.99,108.85,"optics,refraction,question,with,example"
1112,graph theory shortest path,cs,4,2.94,2.42,225.81,"graph,theory,shortest,path"
1113,mechanics motion problem,physics,3,3.3,1.46,222.16,"mechanics,motion,problem"
1114,sorting algorithm explanation solve step by step detailed explanation,cs,9,1.34,0.82,122.08,"sorting,algorithm,explanation,solve,step,detailed"
1115,geometry theorems proof,math,3,1.69,0.75,118.29,"geometry,theorems,proof"
1116,periodic trends question,chemistry,3,2.33,2.41,187.07,"periodic,trends,question"
1117,chemical bonding explanation with example solve step by step,chemistry,9,3.45,1.18,233.3,"chemical,bonding,explanation,with,example,solve,step"
1118,organic reaction mechanism explain detailed explanation,chemistry,6,2.33,0.51,148.89,"organic,reaction,mechanism,explain,detailed,explanation"
1119,electric circuits problem detailed explanation show steps,physics,7,2.79,1.58,210.85,"electric,circuits,problem,detailed,explanation,show,steps"
1120,linear algebra matrix,math,3,3.18,2.13,226.5,"linear,algebra,matrix"
1121,geometry theorems proof detailed explanation,math,5,1.57,0.85,130.86,"geometry,theorems,proof,detailed,explanation"
1122,calculus integral problem solve step by step,math,7,1.08,0.52,103.26,"calculus,integral,problem,solve,step"
1123,chemical bonding explanation,chemistry,3,0.77,1.73,95.16,"chemical,bonding,explanation"
1124,optics refraction question detailed explanation,physics,5,0.61,1.49,94.38,"optics,refraction,question,detailed,explanation"
1125,mechanics motion problem,physics,3,3.45,1.78,226.32,"mechanics,motion,problem"
1126,acid base titration with example with example,chemistry,7,2.48,1.63,194.25,"acid,base,titration,with,example"
1127,mechanics motion problem explain explain,physics,5,1.28,1.64,121.36,"mechanics,motion,problem,explain"
1128,stoichiometry titration problem explain detailed explanation,chemistry,6,2.53,1.73,196.71,"stoichiometry,titration,problem,explain,detailed,explanation"
1129,graph theory shortest path show steps,cs,6,3.33,0.6,219.28,"graph,theory,shortest,path,show,steps"
1130,recursion tree problem explain,cs,4,2.05,1.49,160.65,"recursion,tree,problem,explain"
1131,algebra equation solving,math,3,1.33,1.34,118.28,"algebra,equation,solving"
1132,differential equations solve,math,3,1.5,2.26,152.35,"differential,equations,solve"
1133,electric circuits problem,physics,3,3.25,0.89,202.88,"electric,circuits,problem"
1134,calculus integral problem,math,3,1.94,2.12,167.25,"calculus,integral,problem"
1135,chemical bonding explanation,chemistry,3,0.82,0.98,83.42,"chemical,bonding,explanation"
1136,geometry theorems proof show steps detailed explanation,math,7,2.83,1.74,215.58,"geometry,theorems,proof,show,steps,detailed,explanation"
1137,data structures stack queue,cs,4,0.76,0.62,69.07,"data,structures,stack,queue"
1138,organic reaction mechanism,chemistry,3,0.69,2.1,93.6,"organic,reaction,mechanism"
1139,graph theory shortest path,cs,4,2.53,1.62,182.8,"graph,theory,shortest,path"
1140,recursion tree problem,cs,3,2.35,1.32,177.19,"recursion,tree,problem"
1141,differential equations solve with example,math,5,1.78,1.74,145.83,"differential,equations,solve,with,example"
1142,differential equations solve solve step by step explain,math,8,0.81,1.69,101.65,"differential,equations,solve,step,explain"
1143,quantum basics question,physics,3,2.41,1.01,165.12,"quantum,basics,question"
1144,dynamic programming example,cs,3,0.91,0.59,75.85,"dynamic,programming,example"
1145,data structures stack queue show steps solve step by step,cs,10,3.16,2.05,231.95,"data,structures,stack,queue,show,steps,solve,step"
1146,acid base titration solve step by step,chemistry,7,3.41,1.54,238.45,"acid,base,titration,solve,step"
1147,mechanics motion problem,physics,3,2.02,2.17,177.57,"mechanics,motion,problem"
1148,sorting algorithm explanation,cs,3,3.43,1.78,227.13,"sorting,algorithm,explanation"
1149,geometry theorems proof,math,3,2.5,1.89,198.44,"geometry,theorems,proof"
1150,acid base titration detailed explanation show steps,chemistry,7,1.76,0.82,137.49,"acid,base,titration,detailed,explanation,show,steps"
1151,differential equations solve,math,3,3.26,1.78,228.46,"differential,equations,solve"
1152,data structures stack queue,cs,4,1.22,1.97,137.45,"data,structures,stack,queue"
1153,periodic trends question,chemistry,3,1.7,2.15,144.13,"periodic,trends,question"
1154,calculus integral problem explain,math,4,0.85,1.08,85.99,"calculus,integral,problem,explain"
